"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 06 07:57:06 GMT 2025","Fri Jun 06 07:57:06 GMT 2025","0","tests","test_sample","","","","Test fails","always fail"
"passed","Fri Jun 06 07:57:06 GMT 2025","Fri Jun 06 07:57:06 GMT 2025","0","tests","test_sample","","","","Test with steps","Allure steps"
"passed","Fri Jun 06 07:57:06 GMT 2025","Fri Jun 06 07:57:06 GMT 2025","0","tests","test_sample","","","","Test passes","Always pass"
